"funcao","kind","language","return_type","complexidade"
"atendimento.private_calculahorasuteis(aux integer, a_data timestamp with time zone, a_data_fim timestamp with time zone, a_tenant bigint, inicioexpediente time without time zone, iniciointervalo time without time zone, fimintervalo time without time zone, fimexpediente time without time zone)","FUNCTION","plpgsql","interval","Media"
"atendimento.private_calculatempoutil(a_tenant bigint, a_data timestamp with time zone, a_data_fim timestamp with time zone)","FUNCTION","plpgsql","interval","Media"
"atendimento.private_obterferiados(datainicial date, datafinal date, diasignorados integer[], a_tenant bigint)","FUNCTION","plpgsql","_date","Media"
"atendimento.tratarclassificador(regravisualizacao character varying)","FUNCTION","plpgsql","varchar","Media"
"compras.list_associacoesitensnotas_by_docreferenciado(a_id_docreferenciado uuid)","FUNCTION","plpgsql","tipo_associacoes_itensnotas","Media"
"compras.list_associacoesitensnotas_importacao(a_idimportacao uuid)","FUNCTION","plpgsql","tipo_associacoes_itensnotas","Media"
"compras.verifica_instancia_virtual_completa(a_idinstancia uuid)","FUNCTION","plpgsql","void","Media"
"compras.verifica_instancias_virtuais_relacionadas(a_idnovodocfis uuid)","FUNCTION","plpgsql","void","Media"
"contabil.api_lotecontaanualnovo(a_objeto contabil.tlotecontaanualnovo)","FUNCTION","plpgsql","trecibo","Media"
"contabil.api_lotenovo(a_objeto contabil.tlotenovo)","FUNCTION","plpgsql","trecibo","Media"
"contabil.calcular_bem(a_data date, a_bem uuid, a_estabelecimento uuid, a_empresa uuid)","FUNCTION","plpgsql","record","Media"
"contabil.calcular_saldo_contacontabil_empresas_exercicios(a_empresas uuid[], a_anoinicial smallint, a_anofinal smallint, a_contas character varying[], a_sinteticas boolean, a_antestransf boolean, a_mesinicial smallint DEFAULT 1, a_mesfinal smallint DEFAULT 12)","FUNCTION","plpgsql","record","Media"
"contabilizacao.exportacao_conteudo(pprocessamentofato uuid, pempresa uuid)","FUNCTION","plpgsql","text","Media"
"contabilizacao.grupolancamentos(pobjeto character varying, pano integer, pmes integer, pestabelecimento uuid, pacao character varying)","FUNCTION","plpgsql","bool","Media"
"conversor.fun_calc_saldo_contas()","FUNCTION","plpgsql","bool","Media"
"crm.api_propostaitemfamilianovo_v2(a_objeto crm.tpropostaitemfamilianovo_v2)","FUNCTION","plpgsql","trecibo","Media"
"crm.api_propostaitemfamilianovo_v3(a_objeto crm.tpropostaitemfamilianovo_v3)","FUNCTION","plpgsql","trecibo","Media"
"crm.api_propostaitemfuncaonovo_v2(a_objeto crm.tpropostaitemfuncaonovo_v2)","FUNCTION","plpgsql","trecibo","Media"
