"view_name","kind","column_count","complexidade"
"agente.vwagenteworker","VIEW",9,"Media"
"atendimento.vw_usuarios","VIEW",12,"Media"
"atendimento.vwartigos","VIEW",31,"Alta"
"atendimento.vwartigosativos","VIEW",25,"Alta"
"atendimento.vwartigosativos_v2","VIEW",25,"Alta"
"atendimento.vwartivosativos","VIEW",17,"Media"
"atendimento.vwcontacliente_licenciamento","VIEW",7,"Alta"
"atendimento.vwtitulos","VIEW",47,"Alta"
"atendimento.vwtitulos_v2","VIEW",47,"Alta"
"compras.vw_propostascotacoes","VIEW",14,"Media"
"contabil.vwbensconta","VIEW",5,"Alta"
"contabil.vwcentrodecusto","VIEW",9,"Alta"
"contabil.vwcentrodecustoanalitico","VIEW",9,"Alta"
"contabil.vwconjuntosparticipantes","VIEW",7,"Alta"
"contabil.vwcontas","VIEW",11,"Alta"
"contabil.vwcontasanaliticas","VIEW",10,"Alta"
"contabil.vwlancamentos","VIEW",21,"Alta"
"contabil.vwlancamentosv2","VIEW",22,"Alta"
"contabil.vwlock","VIEW",4,"Alta"
"contabil.vwloteslancamentos","VIEW",21,"Alta"
"contabil.vwloteslancamentosv2","VIEW",22,"Alta"
"contabil.vwparticipantes","VIEW",4,"Media"
"contabilizacao.vw_cfop","VIEW",4,"Baixa"
"contabilizacao.vw_conrubricaslanfatos","VIEW",8,"Alta"
"contabilizacao.vw_contas","VIEW",3,"Baixa"
"contabilizacao.vw_filacontabilizacao","VIEW",17,"Media"
"contabilizacao.vw_grupofilacontabilizacao","VIEW",10,"Media"
"contabilizacao.vw_gruposopcoes","VIEW",4,"Media"
"contabilizacao.vw_lancamentoscontabilizacao","VIEW",17,"Media"
"crm.vw_atcclientefornecedorescontatos","VIEW",14,"Media"
"crm.vw_atcclientefornecedorescontatos_v2","VIEW",14,"Media"
"crm.vw_atcclientefornecedorescontatos_v3","VIEW",14,"Media"
"crm.vw_atcclientefornecedorescontatos_v4","VIEW",15,"Media"
"crm.vw_atcsfollowups","VIEW",13,"Baixa"
"crm.vw_atcsfollowupsanexos","VIEW",13,"Media"
"crm.vw_buscarservicoseprodutos","VIEW",7,"Baixa"
"crm.vw_catalogos","VIEW",12,"Baixa"
"crm.vw_fornecedoresenvolvidosanexos","VIEW",13,"Alta"
"crm.vw_fornecedorespedidoselecao","VIEW",10,"Media"
"crm.vw_fornecedorespedidoselecao_v2","VIEW",11,"Media"
"crm.vw_fornecedorespedidoselecao_v3","VIEW",12,"Media"
"crm.vw_negociosfollowups","VIEW",13,"Baixa"
"crm.vw_negociosfollowupsanexos","VIEW",13,"Media"
"crm.vw_propostas_opcoes","VIEW",21,"Alta"
"crm.vwatcssimplesecomseguradora_v10","VIEW",47,"Media"
"crm.vwatcssimplesecomseguradora_v11","VIEW",48,"Media"
"crm.vwatcssimplesecomseguradora_v12","VIEW",54,"Media"
"crm.vwatcssimplesecomseguradora_v7","VIEW",42,"Baixa"
"crm.vwatcssimplesecomseguradora_v8","VIEW",45,"Media"
"crm.vwatcssimplesecomseguradora_v9","VIEW",46,"Media"
"crm.vwcomposicoes","VIEW",11,"Media"
"crm.vwemissaopropostas","VIEW",22,"Alta"
"crm.vwleads","VIEW",81,"Media"
"crm.vwnegociossimplesecomseguradora","VIEW",53,"Media"
"crm.vwnegociossimplesecomseguradora_v2","VIEW",55,"Media"
"crm.vwnegociossimplesecomseguradora_v3","VIEW",38,"Baixa"
"crm.vwnegociossimplesecomseguradora_v4","VIEW",39,"Baixa"
"crm.vwnegociossimplesecomseguradora_v5","VIEW",40,"Baixa"
"crm.vwnegociossimplesecomseguradora_v6","VIEW",41,"Baixa"
"crm.vwnegociossimplesecomseguradora_v7","VIEW",42,"Baixa"
"crm.vwproximoscontatos","VIEW",18,"Baixa"
"crm.vwproximoscontatos_v2","VIEW",19,"Media"
"crm.vwrelatoriopropostaspendentes","VIEW",15,"Baixa"
"estoque.vw_custosintermediarios","VIEW",14,"Media"
"estoque.vw_saldoprodutoslocaisdeestoques","VIEW",7,"Media"
"estoque.vwprodutos","VIEW",65,"Alta"
"estoque.vwraitens","VIEW",9,"Baixa"
"estoque.vwsaldoitenslocaisdeestoques","VIEW",5,"Media"
"estoque.vwunidades","VIEW",12,"Media"
"financas.vw_contratos","VIEW",98,"Media"
"financas.vw_itenscontratos","VIEW",72,"Media"
"financas.vwcentroscustos","VIEW",12,"Baixa"
"financas.vwclassificacoesfinanceiras","VIEW",12,"Baixa"
"financas.vwcontas","VIEW",48,"Media"
"financas.vwlancamentoscontas","VIEW",26,"Baixa"
"financas.vwlayoutsimpressorascheques","VIEW",7,"Baixa"
"financas.vwtitulos","VIEW",191,"Media"
"financas.vwtitulos_conversao_controller","VIEW",183,"Media"
"financas.vwtitulosbrowser","VIEW",66,"Media"
"gp.vw_alertasusuarios","VIEW",10,"Alta"
"gp.vw_atividades","VIEW",18,"Baixa"
